ID,Staff,BirthYear,Gender,Marital,Citizenship,Minority,JoinDate,LeftDate,Unit,Salary,PerformanceScore,Survey,Satisfaction,Absence,,,,
60,Dominic Holden,9/29/1969,M ,Divorced,PR,No,7/11/2011,,Manufacturing,59892,Exceed,4.5,4,1,,Others,8.875,
77,Finlay Petty,3/22/1966,F,Divorced,PR,No,9/30/2013,,Manufacturing,45069,Meet,4.3,5,7,,Single,10.03508772,
81,Gurpreet Bateman,11/6/1986,F,Divorced,Citizen,No,7/5/2020,,Manufacturing,60724,Exceed,4.6,4,11,,,,
89,Honey Warren,7/7/1984,F,Divorced,Citizen,No,4/1/2013,,Manufacturing,63430,Meet,4.4,4,18,,,,
95,Isha Houghton,5/15/1970,F,Divorced,Citizen,No,11/7/2011,11/15/2016,Manufacturing,51505,Meet,4.24,4,2,,,,
105,Jenna Carty,5/21/1983,F,Divorced,Citizen,No,2/21/2011,1/11/2014,Manufacturing,63813,Meet,5,5,17,,,,
140,Leonidas Austin,7/22/1982,M ,Divorced,Citizen,Yes,5/16/2011,1/15/2016,Manufacturing,45115,Meet,5,4,11,,,,
143,Lilliana Black,9/22/1970,F,Divorced,PR,No,9/24/2012,6/18/2013,Manufacturing,46430,Meet,4.5,5,16,,,,
171,Natalie Kennedy,6/5/1967,F,Divorced,Citizen,No,2/18/2013,,Manufacturing,56339,Meet,4.21,5,4,,,,
175,Neriah Alcock,12/27/1958,F,Divorced,Citizen,No,8/19/2013,,Manufacturing,64919,Meet,4.2,3,2,,,,
182,Paris Joseph,9/22/1976,F,Divorced,Citizen,No,2/21/2011,4/1/2013,Manufacturing,68182,Meet,3.72,3,18,,,,
183,Paul Hart,12/31/1984,M ,Divorced,Citizen,No,9/26/2011,4/7/2018,Manufacturing,61729,Meet,3.8,5,19,,,,
188,Rae Partridge,7/25/1979,F,Divorced,Citizen,No,1/7/2013,3/31/2014,Manufacturing,66074,Meet,4.52,3,20,,,,
28,Ayomide Beasley,8/16/1984,M ,Divorced,Citizen,No,5/18/2014,,Sales,72992,To Improve,2.4,4,16,,,,
4,Aayan Ferrell,6/10/1984,M ,Married,Citizen,No,1/5/2016,,Admin ,93046,Meet,4.1,4,20,,,,
13,Amarah Morris,4/4/1987,F,Married,Citizen,No,2/16/2015,,Admin ,106367,Meet,5,4,4,,,,
67,Ellie Chamberlain,4/16/1979,F,Married,Citizen,no,1/5/2019,,Admin ,99351,Meet,5,3,3,,,,
187,Pollyanna Robin,11/24/1987,F,Married,PR,No,10/27/2008,,Admin ,63000,Meet,4.5,2,14,,,,
115,Jordanne Cote,9/21/1954,F,Married,Citizen,Yes,7/2/2012,,C-Level,250000,Meet,4.83,3,10,,,,
198,Rohit Ellwood,11/6/1984,M ,Married,PR,No,2/21/2011,8/15/2015,Engineering,83363,Meet,4.15,4,4,,,,
204,Rui Stephenson,5/15/1987,F,Married,Citizen,No,5/2/2011,6/5/2013,Engineering,99280,To Improve,2.1,5,19,,,,
9,Aleena Sierra,3/12/1973,F,Married,Citizen,No,6/10/2011,,IT,66593,Meet,4.3,3,19,,,,
39,Cally Branch,5/5/1988,M ,Married,Citizen,No,1/5/2015,2/12/2016,IT,75281,Meet,5,3,11,,,,
43,Chelsey Watson,5/12/1980,F,Married,Citizen,No,10/2/2016,,IT,95920,Meet,4.4,4,10,,,,
49,Cristian Dixon,9/5/1984,M ,Married,Citizen,No,12/1/2014,5/1/2016,IT,93093,Meet,4.7,4,19,,,,
76,Fearne Flynn,7/18/1988,F,Married,Citizen,No,1/5/2015,,IT,70621,Meet,4.11,4,16,,,,
84,Harleigh Thomas,8/7/1986,M ,Married,PR,No,2/16/2015,2/22/2017,IT,113999,Meet,4.33,3,9,,,,
87,Hebe Colley,9/16/1984,F,Married,Citizen,No,11/10/2021,,IT,93554,Exceed,4.6,5,16,,,,
90,Howard Cain,10/5/1986,M ,Married,PR,Yes,2/15/2012,,IT,157000,To Improve,2.39,3,13,,,,
92,Iosif Perkins,2/8/1970,M ,Married,PR,Yes,1/5/2015,,IT,87826,Meet,3.32,3,16,,,,
128,Khalil Black,8/26/1986,M ,Married,Citizen,No,3/30/2015,,IT,83552,Meet,3.04,3,2,,,,
130,Kie Osborne,11/24/1989,M ,Married,Citizen,Yes,3/30/2015,,IT,74679,Meet,4.3,5,20,,,,
142,Libby Greaves,1/18/1952,F,Married,Citizen,No,11/10/2014,,IT,85028,Meet,3.1,5,19,,,,
151,Macey Edmonds,3/31/1969,M ,Married,PR,No,3/30/2015,,IT,76029,Meet,5,4,8,,,,
168,Muhammed Greene,2/9/1972,M ,Married,Citizen,No,9/6/2016,,IT,110929,Meet,4.5,5,8,,,,
186,Piotr Watson,6/30/1989,M ,Married,PR,No,4/20/2017,,IT,99020,Meet,4.2,5,8,,,,
213,Sharon Chen,4/14/1981,F,Married,Citizen,No,9/30/2014,,IT,50750,Meet,3.31,3,7,,,,
237,Tre Kelly,4/23/1986,M ,Married,Citizen,No,11/10/2014,,IT,93206,Meet,4.46,5,7,,,,
246,Zaina Parrish,10/11/1981,F,Married,Non-Resident,No,2/16/2015,,IT,89883,Meet,3.69,5,15,,,,
247,Zane Downes,10/24/1987,M ,Married,Non-Resident,No,4/20/2017,,IT,90100,Meet,3.4,3,14,,,,
2,Aaminah Mcmillan,5/25/1986,F,Married,Citizen,No,5/12/2014,,Manufacturing,66825,Meet,4.6,3,20,,,,
19,Anish Patton,12/11/1976,M ,Married,Citizen,No,9/30/2013,,Manufacturing,47414,Exceed,5,3,13,,,,
23,Ashleigh Mccabe,1/12/1974,F,Married,Citizen,Yes,1/10/2011,1/12/2017,Manufacturing,54670,Meet,4.2,4,12,,,,
27,Ayisha York,4/17/1966,F,Married,Citizen,No,7/21/2016,,Manufacturing,70131,Exceed,4.4,3,16,,,,
40,Carole Wilks,9/23/1973,F,Married,Citizen,No,4/26/2010,,Manufacturing,62514,Meet,2.9,3,6,,,,
47,Claude Alcock,3/28/1983,M ,Married,Citizen,No,4/1/2013,5/25/2016,Manufacturing,46664,Meet,3.18,3,10,,,,
48,Conan Russell,5/21/1979,M ,Married,Citizen,No,7/2/2012,,Manufacturing,48285,Meet,5,3,2,,,,
51,Damien Garcia,10/7/1982,M ,Married,Citizen,Yes,1/5/2015,,Manufacturing,63025,Meet,4.36,5,10,,,,
52,Dania Ford,3/10/1979,F,Married,PR,No,4/2/2019,,Manufacturing,74226,Meet,4.3,3,14,,,,
53,Daryl Jennings,8/19/1959,M ,Married,Citizen,No,11/7/2011,4/29/2018,Manufacturing,46837,Exceed,4.7,4,9,,,,
66,Ellen Whitney,7/18/1989,F,Married,Citizen,No,7/5/2011,9/15/2021,Manufacturing,60270,To Improve,2.4,5,2,,,,
70,Emmeline Hobbs,10/22/1975,F,Married,Citizen,No,2/16/2015,,Manufacturing,52057,Meet,5,3,6,,,,
71,Ethel Leon,9/30/1975,F,Married,Citizen,No,10/2/2012,,Manufacturing,65714,Meet,4.83,5,15,,,,
74,Evie-May Mcneill,10/9/1974,F,Married,Citizen,No,8/19/2013,,Manufacturing,49256,Meet,4.1,5,3,,,,
75,Faiz Molloy,5/9/1984,M ,Married,Citizen,No,4/2/2012,4/15/2013,Manufacturing,61962,Meet,4.9,3,20,,,,
78,Flora Patterson,8/31/1981,F,Married,Citizen,No,5/16/2011,1/7/2013,Manufacturing,64066,Meet,4.2,5,9,,,,
79,Gabriela Lynch,9/19/1988,F,Married,Citizen,No,7/5/2011,9/24/2012,Manufacturing,64955,Meet,3.02,3,3,,,,
88,Hiba Reyes,11/5/1978,F,Married,Citizen,No,7/2/2012,,Manufacturing,57583,Meet,5,3,1,,,,
93,Isaak Moses,11/25/1978,M ,Married,Citizen,No,8/30/2010,9/26/2011,Manufacturing,59369,Meet,4.2,4,6,,,,
94,Isabella-Rose Laing,8/25/1976,F,Married,Citizen,No,5/11/2016,,Manufacturing,62385,Meet,5,3,4,,,,
96,Ishika Haigh,9/1/1989,F,Married,Citizen,No,7/7/2014,,Manufacturing,62910,Exceed,5,3,19,,,,
97,Izabel Hartley,12/8/1973,F,Married,Citizen,No,9/26/2011,6/4/2015,Manufacturing,54005,Meet,3.6,5,16,,,,
98,Izabella Maddox,4/14/1955,F,Married,Citizen,No,11/7/2011,5/17/2016,Manufacturing,57748,Meet,3.13,3,16,,,,
116,Josephine Bowman,9/27/1988,F,Married,Citizen,No,1/7/2008,,Manufacturing,64991,Meet,4.84,5,15,,,,
120,Kanye Walton,8/25/1978,M ,Married,PR,No,3/31/2014,,Manufacturing,54285,Meet,4.2,3,3,,,,
133,Kobie Clifford,10/26/1981,F,Married,Citizen,No,9/30/2013,,Manufacturing,77915,Exceed,4.1,3,11,,,,
136,Kristopher Thornton,8/9/1974,M ,Married,PR,No,4/2/2012,6/25/2015,Manufacturing,54933,To Improve,3.97,4,15,,,,
144,Lillie Davila,1/7/1985,F,Married,Citizen,No,1/10/2011,5/17/2016,Manufacturing,61422,To Improve,3.6,3,16,,,,
145,Lindsey Gill,7/3/1972,M ,Married,Citizen,No,7/5/2011,2/8/2012,Manufacturing,55578,Meet,4.2,5,13,,,,
153,Mairead Oakley,7/10/1988,F,Married,Citizen,No,9/29/2014,,Manufacturing,56147,Meet,3.51,3,2,,,,
154,Makayla Eastwood,11/14/1955,F,Married,Citizen,No,9/26/2011,1/2/2012,Manufacturing,80512,Meet,4.5,3,5,,,,
158,Martin Aguirre,7/1/1972,M ,Married,Citizen,No,1/10/2011,12/12/2015,Manufacturing,82758,Meet,4.78,4,9,,,,
160,Matt Neville,2/21/1974,M ,Married,Citizen,Yes,4/2/2012,9/19/2016,Manufacturing,47211,Meet,4.2,3,15,,,,
161,Max Smyth,3/6/1988,M ,Married,Citizen,No,7/5/2011,11/30/2012,Manufacturing,64724,Meet,5,3,13,,,,
164,Meg Gough,1/12/1973,F,Married,Citizen,No,11/28/2011,,Manufacturing,46738,Exceed,4.36,5,16,,,,
165,Michele Lucas,8/24/1990,F,Married,Citizen,No,4/2/2012,6/15/2013,Manufacturing,53492,Meet,3.35,4,6,,,,
166,Molly Conley,11/7/1974,F,Married,Citizen,No,11/11/2013,,Manufacturing,61349,Meet,4.1,3,11,,,,
172,Natasha Cortez,10/8/1970,F,Married,Citizen,No,9/26/2011,1/9/2014,Manufacturing,45433,Meet,3.49,4,6,,,,
174,Neelam Clarkson,3/16/1981,F,Married,PR,No,1/9/2012,,Manufacturing,58530,Meet,5,5,19,,,,
177,Ollie Holloway,2/11/1952,F,Married,Citizen,No,5/14/2012,8/19/2013,Manufacturing,71966,Meet,5,3,17,,,,
180,Owain Oakley,8/19/1977,M ,Married,Citizen,No,4/4/2011,,Manufacturing,62162,Meet,3.25,5,15,,,,
193,Reilly Guy,12/10/1986,F,Married,Citizen,No,7/5/2011,8/19/2012,Manufacturing,68407,Meet,5,4,16,,,,
195,Rianne Corrigan,8/17/1986,F,Married,Citizen,No,5/16/2011,2/4/2013,Manufacturing,57954,Exceed,4.2,5,12,,,,
197,Robin Parkinson,4/17/1986,F,Married,Citizen,No,1/10/2011,4/1/2016,Manufacturing,61154,Meet,4,4,4,,,,
199,Roma Bailey,11/8/1983,F,Married,PR,No,4/4/2011,1/9/2013,Manufacturing,55965,Meet,3.66,3,6,,,,
200,Roman Anthony,4/26/1986,M ,Married,PR,No,8/30/2010,,Manufacturing,57975,Meet,4.1,3,13,,,,
201,Rosemarie Jensen,9/5/1991,F,Married,Citizen,No,4/4/2011,6/6/2017,Manufacturing,60070,Meet,5,3,7,,,,
203,Rudra Ross,3/31/1977,F,Married,Citizen,Yes,1/5/2015,,Manufacturing,63381,Meet,4.73,5,6,,,,
212,Selin Reeve,5/9/1977,F,Married,Citizen,No,10/25/2010,5/18/2016,Manufacturing,74669,Meet,4.16,5,6,,,,
218,Sienna Bender,12/2/1978,F,Married,Citizen,No,1/7/2013,,Manufacturing,61584,To Improve,3.88,4,6,,,,
219,Simeon Gentry,10/31/1977,M ,Married,Citizen,No,5/16/2011,6/8/2016,Manufacturing,55722,Meet,5,4,14,,,,
221,Sonia Mora,2/16/1984,F,Married,Non-Resident,No,8/15/2011,4/7/2012,Manufacturing,63478,Meet,3.03,5,16,,,,
227,Susannah Sumner,1/7/1987,F,Married,Non-Resident,No,1/7/2013,,Manufacturing,62810,Meet,3.93,3,20,,,,
232,Tegan Ritter,1/7/1974,M ,Married,Citizen,No,1/10/2011,1/26/2016,Manufacturing,50428,Meet,5,3,11,,,,
233,Tierney Currie,5/24/1953,F,Married,Citizen,No,5/16/2011,7/8/2017,Manufacturing,72202,Meet,3.93,3,3,,,,
236,Torin Reese,3/23/1977,F,Married,Citizen,No,11/28/2011,,Manufacturing,54828,Meet,4.2,4,13,,,,
238,Troy Vaughan,3/28/1978,F,Married,Citizen,No,1/8/2009,,Manufacturing,63682,Meet,3.73,4,12,,,,
240,Tyreece Wormald,11/15/1976,M ,Married,Citizen,No,2/21/2011,9/24/2012,Manufacturing,83082,To Improve,2.34,2,4,,,,
241,Vickie Mullins,6/3/1986,F,Married,Citizen,No,9/26/2011,2/8/2016,Manufacturing,49773,Exceed,4.3,5,18,,,,
245,Yousaf Wagner,8/26/1980,M ,Married,Non-Resident,No,7/6/2016,,Manufacturing,50373,Exceed,4.1,4,5,,,,
24,Ashleigh Wilder,10/12/1954,M ,Married,Citizen,No,5/12/2014,,Sales,61809,Meet,3.98,3,4,,,,
35,Bobbi Hart,8/29/1988,F,Married,Citizen,No,1/9/2012,,Sales,61844,Meet,4.2,5,9,,,,
63,Ed Flower,9/14/1988,M ,Married,Citizen,No,8/18/2014,,Sales,70545,Meet,3.6,5,9,,,,
73,Evie Kirkpatrick,5/23/1991,F,Married,Citizen,No,7/5/2017,,Sales,57859,Meet,2.81,3,16,,,,
126,Kelsea Beasley,3/17/1966,F,Married,Citizen,No,5/5/2014,,Sales,180000,Meet,4.5,4,19,,,,
162,Mckenzie Puckett,7/1/1984,M ,Married,Citizen,No,7/6/2016,,Sales,63291,Meet,3.4,4,7,,,,
167,Monet Ahmed,6/1/1964,F,Married,PR,No,8/15/2011,8/2/2014,Sales,74326,Meet,3.14,5,19,,,,
176,Nichole Hewitt,5/12/1989,F,Married,Citizen,No,9/27/2010,,Sales,60120,Meet,4.1,4,18,,,,
110,Jo Valdez,4/16/1981,F,Others,Citizen,Yes,1/5/2015,,IT,61242,Meet,4.61,4,11,,,,
125,Keeva Newton,5/2/1978,F,Others,Citizen,No,3/30/2015,,IT,107226,Meet,4.2,4,7,,,,
15,Anabel Stevens,6/3/1967,F,Others,Citizen,No,4/1/2013,,Manufacturing,52984,Exceed,4,3,12,,,,
31,Becky Kent,5/7/1992,F,Others,Citizen,No,6/5/2015,,Manufacturing,64995,Meet,4.5,3,6,,,,
34,Blossom Oakley,2/25/1951,F,Others,Citizen,No,4/4/2011,11/4/2015,Manufacturing,58275,Meet,4.62,5,1,,,,
109,Jillian Mcclure,12/5/1974,F,Others,Citizen,No,1/6/2014,,Manufacturing,60627,Meet,5,4,8,,,,
117,Julien Clegg,2/18/1983,M ,Others,Citizen,No,9/30/2013,,Manufacturing,59365,Meet,5,4,19,,,,
122,Katey Huynh,12/8/1983,F,Others,Citizen,No,9/30/2013,,Manufacturing,66149,Meet,4.4,5,1,,,,
132,Kingston Kirkpatrick,1/28/1985,M ,Others,Citizen,No,7/8/2013,,Manufacturing,63353,Exceed,3.6,5,4,,,,
134,Kole Guzman,12/1/1974,M ,Others,Citizen,No,5/13/2013,,Manufacturing,74417,Meet,4.29,5,11,,,,
184,Pawel Garrison,11/9/1972,M ,Others,PR,No,9/24/2012,9/26/2017,Manufacturing,52788,Meet,3.08,4,18,,,,
205,Ruth Guy,8/25/1989,F,Others,Citizen,No,7/7/2014,,Manufacturing,56847,PIP,3,1,5,,,,
224,Stuart Daniels,9/16/1975,M ,Others,Non-Resident,No,6/25/2007,8/30/2010,Manufacturing,67176,Meet,4.1,4,15,,,,
244,Wren Duke,8/17/1978,F,Others,Citizen,No,9/29/2014,,Manufacturing,45046,Meet,4.5,5,2,,,,
106,Jensen Hartman,12/27/1988,M ,Others,Citizen,No,4/30/2012,,Sales,70468,Meet,4.53,3,16,,,,
239,Ty Mccormick,1/15/1968,M ,Others,Citizen,No,1/9/2006,,Sales,64397,Exceed,4.1,3,6,,,,
32,Benn Bouvet,9/1/1986,M ,Single,Citizen,No,9/29/2014,,Admin ,63003,Meet,3.9,5,9,,,,
141,Lexie Conway,5/19/1988,F,Single,Citizen,No,5/1/2015,,Admin ,51920,Meet,5,3,2,,,,
59,Diesel Rahman,11/22/1966,M ,Single,Citizen,No,8/15/2011,,Engineering,77692,Meet,3.84,3,4,,,,
62,Dylan Benton,2/20/1979,M ,Single,Citizen,No,11/7/2011,9/7/2015,Engineering,108987,Exceed,5,5,13,,,,
72,Evan Drew,11/7/1987,F,Single,Citizen,No,11/11/2013,,Engineering,105688,Meet,4.5,5,14,,,,
101,Jamelia Chase,5/24/1979,F,Single,PR,No,11/10/2014,,Engineering,95660,Meet,3.04,3,19,,,,
149,Lyndon Prince,5/6/1983,M ,Single,Citizen,No,7/7/2014,,Engineering,92989,Exceed,4.5,5,1,,,,
191,Rayan Estes,4/5/1987,F,Single,Citizen,No,11/11/2013,,Engineering,93396,Meet,4.96,4,3,,,,
215,Shuaib Crawford,6/14/1983,M ,Single,Non-Resident,No,2/18/2013,4/15/2018,Engineering,100416,Meet,4.6,3,9,,,,
222,Stacey Felix,7/5/1979,F,Single,Citizen,No,1/9/2012,,Engineering,101199,Meet,3.79,5,8,,,,
41,Charlize Noble,2/24/1979,F,Single,Citizen,No,3/30/2015,,IT,89292,Meet,5,3,11,,,,
58,Devin Sloan,10/23/1971,F,Single,Citizen,No,2/16/2015,3/15/2015,IT,114800,Meet,4.6,4,10,,,,
64,Elena Weber,10/5/1988,F,Single,Citizen,Yes,1/21/2020,,IT,51777,Exceed,4.64,4,14,,,,
104,Jay Bauer,4/5/1973,M ,Single,Citizen,No,1/20/2013,,IT,140920,Meet,3.6,5,13,,,,
108,Jia Chadwick,11/21/1972,F,Single,Citizen,No,1/7/2017,,IT,150290,Meet,4.94,3,17,,,,
113,Jonathon Rosa,7/5/1980,M ,Single,Citizen,No,4/15/2011,,IT,178000,Exceed,5,5,15,,,,
114,Jordana Cochran,6/14/1987,F,Single,Citizen,No,10/2/2016,,IT,81584,Meet,4.1,5,2,,,,
121,Katerina Cox,4/4/1986,F,Single,Citizen,Yes,7/7/2014,9/12/2015,IT,110000,Meet,4.5,4,8,,,,
135,Kory Walters,9/4/1983,M ,Single,Citizen,No,2/15/2017,,IT,96820,Meet,3.01,5,15,,,,
189,Rares Galindo,9/9/1965,M ,Single,Citizen,No,11/10/2014,,IT,92329,Meet,5,3,5,,,,
214,Shea Stewart,7/6/1968,F,Single,Citizen,No,5/1/2010,,IT,65707,Meet,4.7,4,1,,,,
225,Sultan Watts,7/8/1981,M ,Single,Non-Resident,No,2/15/2017,,IT,84903,Meet,3.42,4,17,,,,
229,Taio Barrera,9/5/1985,M ,Single,Non-Resident,No,9/5/2012,,IT,68678,Meet,4.7,3,2,,,,
231,Tasnia Denton,6/6/1986,F,Single,Citizen,No,6/30/2016,,IT,100031,Meet,5,5,7,,,,
235,Toni Mcfarland,2/21/1984,F,Single,Citizen,No,3/30/2015,,IT,97999,Meet,4.48,5,4,,,,
248,Zayd Farley,7/9/1970,M ,Single,Non-Resident,No,1/5/2014,,IT,138888,Exceed,4.3,5,4,,,,
1,Aairah Hastings,10/7/1986,F,Single,Citizen,Yes,4/2/2012,,Manufacturing,46335,Meet,3.4,5,15,,,,
3,Aamna Howell,4/20/1985,F,Single,Citizen,No,9/29/2014,,Manufacturing,60446,Meet,3.4,4,14,,,,
7,Addie Terrell,5/9/1965,F,Single,Citizen,No,7/5/2011,9/5/2016,Manufacturing,48413,Meet,3.98,4,1,,,,
10,Alena Galvan,11/23/1985,F,Single,Citizen,No,11/10/2014,,Manufacturing,66738,Meet,4.53,5,5,,,,
11,Alfie Hibbert,1/4/1984,M ,Single,Citizen,No,8/13/2012,,Manufacturing,46998,Meet,4.17,4,1,,,,
14,Amy Jennings,2/11/1970,F,Single,Citizen,No,7/6/2009,,Manufacturing,47837,Meet,4.46,3,4,,,,
16,Anaya Fischer,10/27/1970,F,Single,PR,No,4/4/2011,,Manufacturing,59026,Meet,5,5,12,,,,
17,Anees Wallis,3/10/1970,M ,Single,Citizen,No,9/30/2013,8/7/2021,Manufacturing,74312,Meet,3.39,3,14,,,,
20,Annabell Rivers,8/27/1972,F,Single,Citizen,No,1/10/2011,6/18/2013,Manufacturing,68099,Meet,5,3,15,,,,
25,Ayat Stokes,12/22/1970,M ,Single,Citizen,Yes,4/2/2012,,Manufacturing,51044,Meet,5,3,13,,,,
26,Ayda Ramos,7/7/1984,F,Single,Citizen,No,7/8/2013,,Manufacturing,62061,Meet,3.6,5,4,,,,
29,Ayush Kouma,11/24/1979,M ,Single,Citizen,No,2/17/2014,,Manufacturing,53060,To Improve,4.25,3,6,,,,
33,Blake Irvine,8/24/1983,M ,Single,Citizen,No,7/8/2013,,Manufacturing,60380,Meet,3.8,5,4,,,,
38,Cai Barrow,4/18/1980,M ,Single,Citizen,No,7/8/2013,,Manufacturing,57575,Meet,4.1,4,13,,,,
45,Chloe Coleman,6/18/1992,F,Single,Citizen,Yes,11/11/2013,,Manufacturing,53018,Meet,4.3,5,7,,,,
46,Cian Butt,8/15/1968,F,Single,PR,No,5/14/2012,,Manufacturing,59238,Meet,3.4,5,13,,,,
57,Denise Philip,5/31/1988,F,Single,Non-Resident,No,10/3/2011,,Manufacturing,64816,Meet,3.58,5,3,,,,
61,Dua Santana,6/10/1986,F,Single,Citizen,No,2/20/2012,,Manufacturing,55425,Meet,4.8,4,4,,,,
65,Eliot Weaver,9/11/1972,F,Single,Citizen,No,11/5/2012,,Manufacturing,61242,Meet,4.1,3,7,,,,
68,Elliott Whittaker,5/31/1974,M ,Single,PR,No,11/10/2014,,Manufacturing,48888,Meet,4.7,5,8,,,,
69,Elyas Huynh,9/15/1985,M ,Single,Citizen,Yes,3/30/2015,,Manufacturing,52249,Meet,4.5,3,5,,,,
80,Gloria Mahoney,5/16/1983,F,Single,Citizen,No,2/17/2014,,Manufacturing,63025,To Improve,2.44,5,18,,,,
83,Hanna Edmonds,5/8/1980,F,Single,Citizen,Yes,9/29/2014,,Manufacturing,57815,Exceed,3.9,4,3,,,,
85,Harper Mcleod,5/6/1989,F,Single,Citizen,No,2/17/2014,2/25/2018,Manufacturing,59124,To Improve,2.3,3,19,,,,
86,Hayley Chandler,8/27/1983,F,Single,Citizen,No,6/27/2011,11/15/2015,Manufacturing,64786,Meet,4.3,4,3,,,,
99,Jace Crouch,3/2/1980,F,Single,PR,No,3/5/2012,,Manufacturing,63763,Meet,4.51,4,3,,,,
100,Jagoda Randolph,9/8/1969,F,Single,Citizen,No,7/7/2014,,Manufacturing,63322,Exceed,4.3,3,1,,,,
102,Jamie Fritz,2/10/1976,M ,Single,Citizen,No,8/18/2014,,Manufacturing,66541,Meet,3.11,5,4,,,,
107,Jeremiah Britt,5/2/1989,M ,Single,Citizen,No,9/26/2011,4/4/2014,Manufacturing,50470,Meet,4.3,3,19,,,,
111,Jobe Doyle,4/6/1979,M ,Single,PR,No,7/8/2013,,Manufacturing,53250,Meet,4.2,4,13,,,,
112,Joel Mcfarland,9/27/1987,F,Single,Citizen,No,2/17/2014,,Manufacturing,65902,Meet,4,4,7,,,,
118,Kade Coles,11/15/1982,M ,Single,Citizen,No,5/12/2014,,Manufacturing,51259,Meet,4.3,4,1,,,,
119,Kanye Haynes,12/3/1976,M ,Single,Citizen,No,1/9/2012,,Manufacturing,72106,Meet,4.1,4,12,,,,
123,Katy Mclean,5/22/1977,F,Single,PR,No,1/9/2012,,Manufacturing,57568,Exceed,5,5,15,,,,
124,Kayden Whittaker,7/28/1983,M ,Single,Citizen,No,9/29/2014,,Manufacturing,65288,Meet,3.19,3,9,,,,
127,Khadijah Henderson,2/14/1973,F,Single,Citizen,Yes,11/7/2011,11/14/2015,Manufacturing,47434,Exceed,5,4,17,,,,
131,Killian Houston,1/19/1976,M ,Single,Citizen,No,9/30/2013,,Manufacturing,50482,Meet,3.07,4,10,,,,
138,Lee Sullivan,8/10/1981,M ,Single,Citizen,yes,8/16/2012,,Manufacturing,83667,Meet,4.37,3,2,,,,
139,Leonardo Valdez,5/11/1985,M ,Single,Citizen,No,7/7/2014,,Manufacturing,65893,Meet,4.07,4,13,,,,
146,Loren Wilkins,12/2/1983,F,Single,Citizen,Yes,5/16/2011,,Manufacturing,53171,Meet,4.2,4,12,,,,
147,Louise Arnold,3/10/1975,F,Single,Citizen,No,9/30/2013,,Manufacturing,50923,Meet,5,5,14,,,,
148,Luc Farmer,3/18/1987,M ,Single,Citizen,No,4/4/2011,8/13/2018,Manufacturing,53180,Meet,5,5,4,,,,
150,Macauly Levy,10/1/1981,M ,Single,Citizen,Yes,5/16/2011,6/24/2013,Manufacturing,72609,Meet,4.76,5,20,,,,
152,Macy Velazquez,6/29/1985,M ,Single,Citizen,No,8/15/2011,9/4/2014,Manufacturing,55800,PIP,3,2,6,,,,
155,Makenzie Wiggins,11/7/1958,M ,Single,Citizen,No,1/7/2013,2/21/2016,Manufacturing,70507,Exceed,5,3,7,,,,
156,Marcos Saunders,10/18/1981,M ,Single,PR,No,2/21/2011,8/4/2017,Manufacturing,57834,Meet,5,4,20,,,,
157,Marlie Lott,6/19/1961,M ,Single,Citizen,No,1/6/2014,,Manufacturing,59472,Meet,4.8,3,14,,,,
159,Matei Marquez,7/10/1983,M ,Single,Citizen,No,7/5/2011,,Manufacturing,62506,Exceed,4.6,5,1,,,,
